Symbol,HR,estimate,se,zval.random,pVal.random,p.adj,pValQ,direction,num.coherence,k
UBTF,0.6309067946611167,-0.460597137872407,0.15579173222126758,-2.9564928209298746,0.003111594751034363,0.3590363671258311,0.6870600546060714,-+-----,6,7
AKR1B1,0.7358194255900378,-0.3067705360211419,0.10380780029518709,-2.9551780805374115,0.0031248862160837844,0.3597929336380606,0.33241319354278065,-------,7,7
EGLN2,0.6352331109927416,-0.45376324353002767,0.15360603350275076,-2.95407174563818,0.003136110872131095,0.36030878974780994,0.5541398477260371,-+--..-,4,5
ERAP1,0.7486358020024891,-0.289502659378231,0.0982544503083934,-2.9464584908832387,0.003214355578191667,0.36614868317550453,0.3874824816466413,-------,7,7
RAB5C,0.6294978714746569,-0.4628328067986753,0.1573428611401167,-2.9415558065040788,0.0032656799358121466,0.36937114882541794,0.48732894167888824,-----+-,6,7
CRBN,0.6585774956837548,-0.4176730795542057,0.1420688376469243,-2.9399345167602844,0.0032828161785980565,0.36937114882541794,0.9285537877689327,-----+-,6,7
COQ10A,0.7332693614224473,-0.31024216653291875,0.1055855295162118,-2.9383019430260426,0.003300154419825554,0.36937114882541794,0.9773260902258866,----..-,5,5
MAN1A2,0.6811446146901433,-0.3839806390038563,0.13074188188220257,-2.9369367602481042,0.0033147169108384243,0.36937114882541794,0.5082401763511816,-+-+---,5,7
EWSR1,0.6452121861000367,-0.4381760455876289,0.14922475343110403,-2.936349603619426,0.003320998128024892,0.36937114882541794,0.845190989865039,-------,7,7
EDEM1,0.7157337606388944,-0.33444702385523295,0.11390196389775824,-2.9362709158855456,0.0033218407279339444,0.36937114882541794,0.5072374627257374,-----+-,6,7
CCR2,0.8532918638977928,-0.15865362835228491,0.05405182917261641,-2.935212938781757,0.0033331886272200397,0.36937114882541794,0.8143933476728249,-----+-,6,7
MLH1,0.648654278272006,-0.4328554033312653,0.14749626997183907,-2.934687117266822,0.003338841730975098,0.36937114882541794,0.5502084389142295,---.---,6,6
CAPRIN1,0.6952510962256933,-0.36348220913332135,0.12385903106882021,-2.9346443775372224,0.00333930160901591,0.36937114882541794,0.2995191865933087,-------,7,7
ZNF671,0.7545241757280515,-0.2816679592358109,0.09600025794201515,-2.934033358597228,0.003345882462373045,0.36937114882541794,0.7281085618241021,----++-,5,7
LINC00032,1.3020288093169015,0.2639236705130862,0.08997350117508499,2.9333488979105176,0.0033532683284727403,0.36937114882541794,0.750816446055494,+-+....,2,3
PTPN4,0.6870388240187115,-0.37536447595668193,0.12801096070105758,-2.932283875544579,0.003364790280713845,0.3698776871540256,0.6138976306617865,-------,7,7
HLA-DOA,0.7194407159075418,-0.329281152286383,0.11239814963128708,-2.9295958462533664,0.0033940312357712485,0.3708031180773889,0.21250141862404723,-----+-,6,7
TMEM106A,0.6991701615984434,-0.3578611306108521,0.12232313409727201,-2.9255392551197965,0.0034385979041561005,0.37172393872798926,0.6639821716239,---...-,4,4
KDELC2,0.6889918724098286,-0.3725258042502043,0.12746055717779065,-2.9226751592697027,0.0034703836435725256,0.37172393872798926,0.8747566865866019,-.--..-,4,4
LARP7,0.6391841546048267,-0.447562674254064,0.15315500089827386,-2.92228573424995,0.003474726073389433,0.37172393872798926,0.2010399418117891,-------,7,7
C11orf87,0.7880333786997471,-0.2382148312653404,0.08154464633972301,-2.9212810645215628,0.003485951865366381,0.37172393872798926,0.7972586651637108,----..-,5,5
HLA-DPB1,0.7673510088394854,-0.26481094365611074,0.09072439798594173,-2.918850381317986,0.0035132480309560295,0.37286108885798175,0.17038725364445056,-------,7,7
CEP97,0.6954184729352466,-0.36324149528716665,0.1244611568227491,-2.9185129285313947,0.003517052905390305,0.37286108885798175,0.5066424593057729,-+-----,6,7
APOL1,0.7843949001063767,-0.2428426863302699,0.08326746991434854,-2.916417258505216,0.0035407662354254386,0.37370482359112156,0.40096380211094573,-------,7,7
